series_name,date,value,series_name2
Overall Construction Sector Confidence,2017-10-31,59.49986316365627,Business Confidence Survey
Overall Construction Sector Confidence,2017-12-31,49.76325757575757,Business Confidence Survey
Overall Construction Sector Confidence,2018-02-28,50.84770114942528,Business Confidence Survey
Overall Construction Sector Confidence,2018-04-30,53.794661311108676,Business Confidence Survey
Overall Construction Sector Confidence,2018-06-30,47.29649435531788,Business Confidence Survey
Overall Construction Sector Confidence,2018-08-31,52.62345679012345,Business Confidence Survey
Overall Construction Sector Confidence,2018-10-31,41.62892512077295,Business Confidence Survey
Overall Construction Sector Confidence,2018-12-31,41.986111111111114,Business Confidence Survey
Overall Construction Sector Confidence,2019-02-28,53.819444444444436,Business Confidence Survey
Overall Construction Sector Confidence,2019-04-30,42.46031746031746,Business Confidence Survey
Overall Construction Sector Confidence,2019-06-30,44.30555555555555,Business Confidence Survey
Overall Construction Sector Confidence,2019-08-31,38.88888888888888,Business Confidence Survey
Overall Construction Sector Confidence,2019-10-31,45.70436507936508,Business Confidence Survey
Overall Construction Sector Confidence,2019-12-31,45.370370370370374,Business Confidence Survey
Overall Construction Sector Confidence,2020-02-29,46.18055555555555,Business Confidence Survey
Overall Construction Sector Confidence,2020-04-30,47.5,Business Confidence Survey
Overall Construction Sector Confidence,2020-06-30,25,Business Confidence Survey
Overall Construction Sector Confidence,2020-08-31,52.77777777777778,Business Confidence Survey
Overall Construction Sector Confidence,2020-10-31,52.22222222222222,Business Confidence Survey
Overall Construction Sector Confidence,2020-12-31,58.63095238095238,Business Confidence Survey
Overall Construction Sector Confidence,2021-02-28,62.5,Business Confidence Survey
Overall Construction Sector Confidence,2021-04-30,54.96891801075268,Business Confidence Survey
Overall Construction Sector Confidence,2021-06-30,62.67361111111111,Business Confidence Survey
Overall Construction Sector Confidence,2021-08-31,53.26620750471326,Business Confidence Survey
Overall Construction Sector Confidence,2021-10-31,48.214285714285715,Business Confidence Survey
Overall Construction Sector Confidence,2021-12-31,48.958333333333336,Business Confidence Survey
Overall Construction Sector Confidence,2022-02-28,50.86805555555555,Business Confidence Survey
Overall Construction Sector Confidence,2022-04-30,46.56862745098039,Business Confidence Survey
Overall Construction Sector Confidence,2022-06-30,43.40277777777778,Business Confidence Survey
Overall Construction Sector Confidence,2022-08-31,40.7608695652174,Business Confidence Survey
Overall Construction Sector Confidence,2022-10-31,43.56060606060606,Business Confidence Survey
Overall Construction Sector Confidence,2022-12-31,34.67741935483871,Business Confidence Survey
Overall Construction Sector Confidence,2023-02-28,33.996212121212125,Business Confidence Survey
Overall Construction Sector Confidence,2023-03-31,43.75,Business Confidence Survey
Overall Manufacturing Sector Confidence,2017-10-31,56.19634375744158,Business Confidence Survey
Overall Manufacturing Sector Confidence,2017-12-31,54.16962953728111,Business Confidence Survey
Overall Manufacturing Sector Confidence,2018-02-28,53.856994895086046,Business Confidence Survey
Overall Manufacturing Sector Confidence,2018-04-30,51.53543586613597,Business Confidence Survey
Overall Manufacturing Sector Confidence,2018-06-30,49.80678847384227,Business Confidence Survey
Overall Manufacturing Sector Confidence,2018-08-31,54.189660758698814,Business Confidence Survey
Overall Manufacturing Sector Confidence,2018-10-31,48.06871002104697,Business Confidence Survey
Overall Manufacturing Sector Confidence,2018-12-31,47.444334015658484,Business Confidence Survey
Overall Manufacturing Sector Confidence,2019-02-28,53.01940374345145,Business Confidence Survey
Overall Manufacturing Sector Confidence,2019-04-30,45.66254134396126,Business Confidence Survey
Overall Manufacturing Sector Confidence,2019-06-30,40.8458633160048,Business Confidence Survey
Overall Manufacturing Sector Confidence,2019-08-31,42.78507142933319,Business Confidence Survey
