date,Exports of Goods,Imports of Goods,Balance of trade in services,Balance on primary income,Balance on secondary income,Capital Account,Disbursements (Govt.),Amortization (Govt.),Other flows in financial account,Net errors and omissions,Overall Balance
2013-07-31,2194,-3458,-224,-237,1619,19,81,-258,-226,-330,-820
2013-08-31,2009,-3468,-379,-216,1573,7,399,-226,440,67,206
2013-09-30,2054,-3715,-305,-368,1606,19,111,-292,460,-147,-577
2013-10-31,2063,-3617,-42,-382,1868,5,124,-72,-236,-62,-351
2013-11-30,1820,-3265,-360,-475,1559,22,329,-298,198,-49,-519
2013-12-31,2327,-3594,-198,-328,1936,91,297,-222,-361,217,165
2014-01-31,2129,-3596,-321,-159,1411,41,97,-96,312,-79,-261
2014-02-28,2058,-3159,11,-324,1500,761,296,-215,-6,-6,916
2014-03-31,2092,-3354,-310,-377,1710,801,277,-327,734,-253,993
2014-04-30,2097,-3329,-312,-311,1616,16,309,-79,1931,260,2198
2014-05-31,2133,-3531,100,-489,1691,28,1514,-375,279,49,1399
2014-06-30,2102,-3582,-310,-289,1976,47,515,-274,413,-89,509
2014-07-31,1919,-4021,-383,-223,1911,2,351,-115,223,-14,-350
2014-08-31,1880,-3932,-111,-202,1775,4,399,-348,86,70,-379
2014-09-30,2161,-4092,-168,-429,2238,53,364,-346,567,46,394
2014-10-31,2088,-3570,-296,-535,2003,68,232,-81,-109,-108,-308
2014-11-30,1861,-3100,-313,-554,1498,38,205,-380,438,49,-258
2014-12-31,2257,-3409,-236,-417,1869,102,497,-361,1049,35,1386
2015-01-31,1964,-3015,-355,-346,1494,8,220,-99,-17,19,-127
2015-02-28,1853,-2799,402,-253,1598,10,149,-113,60,31,938
2015-03-31,2049,-3294,-307,-265,1788,37,324,-306,-152,43,-83
2015-04-30,2067,-3045,-349,-452,1904,31,106,-215,718,138,903
2015-05-31,1880,-3470,-385,-484,1823,14,156,-234,321,-138,-517
2015-06-30,2111,-3610,-475,-439,2126,8,1240,-243,533,-204,1047
2015-07-31,1759,-3596,39,-328,1821,20,127,-124,388,168,274
2015-08-31,1738,-3222,-441,-239,1762,62,151.8,-165,252,-172.8,-274
2015-09-30,1821,-3257,24,-582,2115,7,687,-622,987,65,1245
2015-10-31,1778,-3254,-359,-635,1929,38,146,-168,40,79,-406
2015-11-30,1740,-3152,-293,-484,1878,25,596,-280,145,-176,-1
2015-12-31,1947,-4101,-411,-492,1976,14,1380,-369,874,-197,621
2016-01-31,1692,-3357,-318,-387,1591,14,179,-197,156,212,-415
2016-02-29,1864,-3086,-231,-285,1713,27,194,-82,-40,-77,-3
2016-03-31,1989,-3321,-277,-441,1983,6,743,-286,-463,170,103
2016-04-30,1818,-3168,-254,-458,1882,26,207,-68,-192,-46,-253
2016-05-31,1959,-3577,-699,-632,1865,23,537,-196,1012,396,688
2016-06-30,1867,-4027,-326,-382,2561,11,1211,-157,274,41,1073
2016-07-31,1508,-3119,-363,-358,1614,10,196,-119,678,-122,-75
2016-08-31,1857,-3916,-423,-244,2059,63,229,-104,338,195,54
2016-09-30,1689,-3125,-523,-388,2051,22,1443,-854,155,-172,298
2016-10-31,1826,-3482,-377,-445,1802,2,135,-117,1145,31,520
2016-11-30,1860,-3940,-346,-487,1806,16,167,-276,675,41,-484
2016-12-31,1891,-4082,-520,-488,1914,12,986,-212,319,94,-86
2017-01-31,1811,-4327,-399,-296,1724,32,426,-790,928,-35,-926
2017-02-28,1797,-4021,-129,-353,1712,118,353,-124,449,-111,-309
2017-03-31,2075,-4348,-31,-344,2039,9,225,-411,323,-143,-606
2017-04-30,1827,-4072,-424,-445,1840,56,533,-183,327,144,-397
2017-05-31,1978,-4583,-584,-657,2120,3,1908,-446,648,-51,336
2017-06-30,1884,-4986,-542,-509,2722,32,2813,-738,-1170,223,-271
2017-07-31,1817,-4799,-596,-397,1734,14,266,-235,722,-59,-1533
2017-08-31,2090,-4530,-590,-339,2422,41,622,-309,787,-47,147
2017-09-30,1743,-3884,-472,-311,1774,51,593,-806,619,-68,-761
2017-10-31,1960,-4395,-387,-461,2040,10,881,-77,192,-116,-353
2017-11-30,2173,-4515,-624,-565,1896,6,651,-360,483,62,-793
2017-12-31,2008,-4297,-635,-483,1964,64,826,-296,2409,-127,1433
2018-01-31,2090,-4930,-434,-401,1925,31,765,-147,-73,-210,-1384
2018-02-28,2057,-4260,-410,-279,1682,23,240,-124,487,53,-531
2018-03-31,2316,-5066,-417,-412,2144,52,322,-398,825,44,-590
2018-04-30,2235,-4846,-799,-543,1714,13,1691,-81,314,79,-223
2018-05-31,2265,-5075,-494,-783,2089,24,729,-1034,718,-340,-1901
2018-06-30,2014,-5074,-568,-463,2187,47,921,-240,1728,-204,348
2018-07-31,2013,-5290,-741,-392,2307,20,657,-254,2112,150,582
2018-08-31,2075,-4606,-402,-323,2447,68,315,-185,465,-6,-152
2018-09-30,1805,-4008,-269,-353,1625,10,283,-937,297,297,-1250
2018-10-31,2061,-4680,-333,-501,2196,4,414,-202,187,62,-792
2018-11-30,1898,-4142,-392,-456,1972,13,294,-639,1692,-308,-68
2018-12-31,2013,-4776,-478,-534,1941,18,411,-336,1396,1,-344
2019-01-31,2274,-4285,-330,-488,1974,10,376,-475,1894,15,965
2019-02-28,1875,-3407,-256,-288,1793,5,247,-199,128,9,-93
2019-03-31,2037,-4118,-287,-400,1945,11,2920,-663,1155,-112,2488
2019-04-30,2084,-4135,-442,-583,1911,9,331,-117,-696,-56,-1694
2019-05-31,2323,-4384,-696,-778,2531,9,927,-932,367,-174,-807
2019-06-30,1799,-4038,-344,-514,2116,52,1080,-1043,489,64,-339
2019-07-31,2217,-4222,-428,-548,2365,41,1559,-380,-107,254,751
2019-08-31,1896,-3556,-531,-287,1846,46,954,-208,327,53,540
2019-09-30,1881,-3497,-219,-534,1898,26,501,-1337,1002,66,-213
2019-10-31,2191,-3648,-192,-579,2276,37,382,-358,250,-207,152
2019-11-30,2113,-3762,-243,-444,1925,10,556,-338,872,116,805
2019-12-31,2110,-4629,-457,-671,2282,38,3212,-205,463,176,2319
2020-01-31,2056,-3931,-206,-453,1998,5,358,-260,1160,195,922
2020-02-29,1996,-3581,-429,-201,2001,7,283,-196,591,95,566
2020-03-31,1821,-3310,-156,-418,2113,25,218,-716,-1229,56,-1596
2020-04-30,1423,-3144,-162,-506,1879,11,1894,-451,62,138,1144
2020-05-31,1259,-2805,-26,-190,2091,10,89,-1810,-254,-309,-1945
2020-06-30,1573,-3560,-267,-628,2761,29,3175,-1040,294,-483,1854
2020-07-31,1887,-3534,-351,-650,3261,4,798,-390,-572,-212,241
2020-08-31,1515,-3343,-173,-212,2361,30,497,-277,-156,-235,7
2020-09-30,1947,-3821,-139,-486,2535,39,559,-776,-221,-60,-423
2020-10-31,1969,-3557,-274,-397,2572,5,341,-596,-165,57,-45
2020-11-30,2240,-4225,-133,-263,2690,20,1227,-399,-283,-53,821
2020-12-31,2255,-5302,-277,-510,2766,29,1159,-237,745,53,681
2021-01-31,2100,-4412,-191,-288,2571,19,940,-820,-356,-128,-565
2021-02-28,2184,-4476,-217,-137,2609,10,538,-503,206,-167,47
2021-03-31,2616,-5392,-188,-375,2970,18,668,-370,747,79,773
2021-04-30,2304,-4975,-148,-402,2953,20,262,-1155,3106,62,2027
2021-05-31,2130,-4934,-132,-304,2600,8,722,-75,567,-211,371
2021-06-30,2492,-6302,-293,-376,2842,22,2097,-257,1197,196,1618
2021-07-31,2234,-5278,-394,-284,2863,19,536,-289,1005,121,533
2021-08-31,2339,-5869,-508,-371,2870,8,772,-173,3256,-15,2309
2021-09-30,2627,-5951,-324,-334,2820,33,793,-367,334,-309,-678
2021-10-31,2375,-5776,-544,-502,2722,10,682,-365,-417,-282,-2097
2021-11-30,2737,-6252,-546,-470,2557,10,794,-682,422,179,-1251
2021-12-31,2930,-6310,-558,-545,2630,36,1396,-810,3183,20,1972
2022-01-31,2503,-6130,-590,-483,2320,20,1040,-686,1210,-291,-1087
2022-02-28,2890,-5066,-408,-273,2316,9,1200,-154,-611,-107,-204
2022-03-31,3071,-6114,-394,-535,2991,21,570,-2879,-1360,20,-4609
2022-04-30,3152,-5959,-446,-614,3227,16,249,-572,63,176,-708
2022-05-31,2505,-5634,-463,-356,2442,5,309,-823,779,106,-1130
2022-06-30,3130,-7204,-665,-481,2899,18,2915,-543,484,79,632
2022-07-31,2217,-5517,-32,-462,2533,7,180,-748,-104,161,-1765
2022-08-31,2734,-5958,-137,-188,2775,10,1412,-533,192,93,400
2022-09-30,2440,-4905,-112,-378,2544,17,614,-580,-216,-77,-653
2022-10-31,2282,-4654,-64,-505,2114,18,1945,-662,451,248,1173
2022-11-30,2249,-4343,93,-432,2291,7,774,-1556,-122,-108,-1147
2022-12-31,2310,-4265,68,-674,2216,258,432,-1342,-1129,-166,-2292
2023-01-31,2219,-3929,18,-509,1971,11,208,-2342,137,-39,-2255
2023-02-28,2210,-3933,-31,-299,2017,9,1192,-486,308,-55,932
2023-03-31,2438,-3991,-25,-447,2775,11,273,-557,79,80,636
2023-04-30,2101,-3677,-140,-552,2346,10,283,-233,261,-14,385
2023-05-31,2594,-3788,-245,-534,2228,6,406,-745,-305,-362,-745
