Month,Price,Change,type,0
May 1993,79.18,-,Agricultural Raw Materials Price Index,
Jun 1993,79.1,-0.11%,Agricultural Raw Materials Price Index,
Jul 1993,79.05,-0.06%,Agricultural Raw Materials Price Index,
Aug 1993,78.4,-0.83%,Agricultural Raw Materials Price Index,
Sep 1993,76.29,-2.69%,Agricultural Raw Materials Price Index,
Oct 1993,75.82,-0.62%,Agricultural Raw Materials Price Index,
Nov 1993,73.38,-3.21%,Agricultural Raw Materials Price Index,
Dec 1993,72.37,-1.38%,Agricultural Raw Materials Price Index,
Jan 1994,70.47,-2.63%,Agricultural Raw Materials Price Index,
Feb 1994,71.45,1.39%,Agricultural Raw Materials Price Index,
Mar 1994,72.99,2.16%,Agricultural Raw Materials Price Index,
Apr 1994,76.58,4.92%,Agricultural Raw Materials Price Index,
May 1994,79.32,3.57%,Agricultural Raw Materials Price Index,
Jun 1994,80.85,1.92%,Agricultural Raw Materials Price Index,
Jul 1994,81.03,0.22%,Agricultural Raw Materials Price Index,
Aug 1994,80.26,-0.95%,Agricultural Raw Materials Price Index,
Sep 1994,78.39,-2.33%,Agricultural Raw Materials Price Index,
Oct 1994,76.06,-2.97%,Agricultural Raw Materials Price Index,
Nov 1994,75.15,-1.20%,Agricultural Raw Materials Price Index,
Dec 1994,74.94,-0.28%,Agricultural Raw Materials Price Index,
Jan 1995,77.5,3.41%,Agricultural Raw Materials Price Index,
Feb 1995,77.31,-0.24%,Agricultural Raw Materials Price Index,
Mar 1995,77.73,0.53%,Agricultural Raw Materials Price Index,
Apr 1995,79.61,2.43%,Agricultural Raw Materials Price Index,
May 1995,79.4,-0.27%,Agricultural Raw Materials Price Index,
Jun 1995,75.69,-4.67%,Agricultural Raw Materials Price Index,
Jul 1995,73.29,-3.18%,Agricultural Raw Materials Price Index,
Aug 1995,71.46,-2.49%,Agricultural Raw Materials Price Index,
Sep 1995,71.25,-0.30%,Agricultural Raw Materials Price Index,
Oct 1995,71.88,0.89%,Agricultural Raw Materials Price Index,
