series_name,date,value
Others,2019-06-30,1602425.0080000004
Manufacture of textiles,2019-06-30,919577.907
Manufacture of food products,2019-06-30,790980.317
"Electricity, gas, steam and air conditioning supply",2019-06-30,484029.504
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-06-30,477312.012
"Agriculture, Forestry and Fishing sector",2019-06-30,301490.6
Manufacture of chemicals and chemical products,2019-06-30,289781.805
Manufacture of other non-metallic mineral products,2019-06-30,191194.495
Manufacture of basic metals,2019-06-30,160813.041
Construction sector,2019-06-30,153706.166
Information and Communication sector,2019-06-30,140628.459
Manufacture of electrical equipment,2019-06-30,126456.038
Manufacture of coke and refined petroleum products,2019-06-30,120217.067
Manufacture of wearing apparel,2019-06-30,110817.288
Others,2019-07-31,1610730.6879999996
Manufacture of textiles,2019-07-31,918008.46
Manufacture of food products,2019-07-31,763624.646
"Electricity, gas, steam and air conditioning supply",2019-07-31,495267.257
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-07-31,451471.183
"Agriculture, Forestry and Fishing sector",2019-07-31,303694.963
Manufacture of chemicals and chemical products,2019-07-31,272389.576
Manufacture of other non-metallic mineral products,2019-07-31,188615.219
Manufacture of basic metals,2019-07-31,158792.918
Information and Communication sector,2019-07-31,134889.314
Construction sector,2019-07-31,134412.276
Manufacture of electrical equipment,2019-07-31,124000.171
Manufacture of coke and refined petroleum products,2019-07-31,112536.815
Manufacture of wearing apparel,2019-07-31,111023.364
Others,2019-08-31,1608652.424
Manufacture of textiles,2019-08-31,925292.953
Manufacture of food products,2019-08-31,763179.607
"Electricity, gas, steam and air conditioning supply",2019-08-31,494125.694
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-08-31,443840.312
"Agriculture, Forestry and Fishing sector",2019-08-31,299407.803
Manufacture of chemicals and chemical products,2019-08-31,267710.392
Manufacture of other non-metallic mineral products,2019-08-31,190777.712
Manufacture of basic metals,2019-08-31,171394.144
Information and Communication sector,2019-08-31,137016.388
Construction sector,2019-08-31,136532.109
Manufacture of electrical equipment,2019-08-31,118731.782
Manufacture of wearing apparel,2019-08-31,111182.167
Manufacture of coke and refined petroleum products,2019-08-31,95747.725
Others,2019-09-30,1641060.2910000002
Manufacture of textiles,2019-09-30,926139.533
Manufacture of food products,2019-09-30,716864.18
"Electricity, gas, steam and air conditioning supply",2019-09-30,493495.14
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-09-30,435280.342
"Agriculture, Forestry and Fishing sector",2019-09-30,300720.704
Manufacture of chemicals and chemical products,2019-09-30,273089.554
Manufacture of other non-metallic mineral products,2019-09-30,191539.586
Manufacture of basic metals,2019-09-30,173528.425
Information and Communication sector,2019-09-30,155881.569
Construction sector,2019-09-30,136573.865
Manufacture of electrical equipment,2019-09-30,120249.969
Manufacture of coke and refined petroleum products,2019-09-30,115953.232
Manufacture of wearing apparel,2019-09-30,109029.05
Others,2019-10-31,1656779.9900000002
Manufacture of textiles,2019-10-31,973520.865
Manufacture of food products,2019-10-31,705891.983
"Electricity, gas, steam and air conditioning supply",2019-10-31,496983.72
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-10-31,439765.05
"Agriculture, Forestry and Fishing sector",2019-10-31,305472.438
Manufacture of chemicals and chemical products,2019-10-31,276050.111
Manufacture of other non-metallic mineral products,2019-10-31,193076.957
Manufacture of basic metals,2019-10-31,167475.779
Information and Communication sector,2019-10-31,151443.147
Construction sector,2019-10-31,136383.197
Manufacture of electrical equipment,2019-10-31,122046.663
Manufacture of wearing apparel,2019-10-31,108703.194
Manufacture of coke and refined petroleum products,2019-10-31,92846.804
Others,2019-11-30,1661024.0880000005
Manufacture of textiles,2019-11-30,1003801.467
Manufacture of food products,2019-11-30,718802.607
"Electricity, gas, steam and air conditioning supply",2019-11-30,512523.536
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-11-30,433335.929
"Agriculture, Forestry and Fishing sector",2019-11-30,302838.135
Manufacture of chemicals and chemical products,2019-11-30,280332.827
Manufacture of other non-metallic mineral products,2019-11-30,199138.528
Manufacture of basic metals,2019-11-30,162685.887
Information and Communication sector,2019-11-30,148727.761
Construction sector,2019-11-30,133925.576
Manufacture of electrical equipment,2019-11-30,123946.869
Manufacture of wearing apparel,2019-11-30,109410.813
Manufacture of coke and refined petroleum products,2019-11-30,94061.235
Others,2019-12-31,1684099.9230000004
Manufacture of textiles,2019-12-31,1031978.007
Manufacture of food products,2019-12-31,757343.873
"Electricity, gas, steam and air conditioning supply",2019-12-31,504800.245
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019-12-31,441646.516
"Agriculture, Forestry and Fishing sector",2019-12-31,306340.028
Manufacture of chemicals and chemical products,2019-12-31,299919.131
Manufacture of other non-metallic mineral products,2019-12-31,203454.101
Manufacture of basic metals,2019-12-31,165874.18
Information and Communication sector,2019-12-31,145005.944
Construction sector,2019-12-31,127573.594
Manufacture of electrical equipment,2019-12-31,121870.386
Manufacture of wearing apparel,2019-12-31,111058.231
Manufacture of coke and refined petroleum products,2019-12-31,105706.995
Others,2020-01-31,1649228.5429999996
Manufacture of textiles,2020-01-31,1059082.709
Manufacture of food products,2020-01-31,758095.583
"Electricity, gas, steam and air conditioning supply",2020-01-31,513787.318
Wholesale and retail trade; repair of motor vehicles and motorcycles,2020-01-31,431417.061
"Agriculture, Forestry and Fishing sector",2020-01-31,292352.183
Manufacture of chemicals and chemical products,2020-01-31,286919.185
Manufacture of other non-metallic mineral products,2020-01-31,211347.412
Manufacture of basic metals,2020-01-31,151914.507
Information and Communication sector,2020-01-31,139249.799
Manufacture of electrical equipment,2020-01-31,126813.423
Construction sector,2020-01-31,124988.257
Manufacture of wearing apparel,2020-01-31,112934.895
Manufacture of coke and refined petroleum products,2020-01-31,99997.765
Others,2020-02-29,1632041.7479999997
Manufacture of textiles,2020-02-29,1077210.204
Manufacture of food products,2020-02-29,809459.757
"Electricity, gas, steam and air conditioning supply",2020-02-29,522295.403
Wholesale and retail trade; repair of motor vehicles and motorcycles,2020-02-29,432281.579
"Agriculture, Forestry and Fishing sector",2020-02-29,295023.359
Manufacture of chemicals and chemical products,2020-02-29,278079.604
Manufacture of other non-metallic mineral products,2020-02-29,212066.023
Manufacture of basic metals,2020-02-29,147465.593
Information and Communication sector,2020-02-29,136486.761
Manufacture of electrical equipment,2020-02-29,129860.886
Construction sector,2020-02-29,124566.808
Manufacture of wearing apparel,2020-02-29,117112.613
Manufacture of coke and refined petroleum products,2020-02-29,109309.688
Others,2020-03-31,1635422.7119999994
Manufacture of textiles,2020-03-31,1111078.75
