"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","7826","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","4237","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","82136","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","136","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","16","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","226","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","3211","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","8290","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","4852","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","77457","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","100","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","36","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","357","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","30-Apr-2023","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","2945","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","12643","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","8716","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","84307","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","279","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","29","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","635","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","2984","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","12102","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","7497","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","85429","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","250","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","42","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","615","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Mar-2023","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","3698","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","10059","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","5764","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","103003","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","278","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","136","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","308","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","3330","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","10977","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","6818","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","102499","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","283","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","48","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","586","Number","Normal","","130","Production of LCVS (Pick Ups)"
