"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Domestic Sale and Export of Cement","30-Apr-2023","TS_GP_RLS_CEMSEC_M.C_001000",". Total Cement Sales","2951.3","Thousand Metric Ton","Normal","","10","Total Cement Sales"
"Domestic Sale and Export of Cement","30-Apr-2023","TS_GP_RLS_CEMSEC_M.C_002000","....... Domestic Cement Sales","2530.6","Thousand Metric Ton","Normal","","20","Domestic Cement Sales"
"Domestic Sale and Export of Cement","30-Apr-2023","TS_GP_RLS_CEMSEC_M.C_003000","....... Export Cement Sales","420.7","Thousand Metric Ton","Normal","","30","Export Cement Sales"
"Domestic Sale and Export of Cement","31-Mar-2023","TS_GP_RLS_CEMSEC_M.C_001000",". Total Cement Sales","3795.2","Thousand Metric Ton","Normal","","10","Total Cement Sales"
"Domestic Sale and Export of Cement","31-Mar-2023","TS_GP_RLS_CEMSEC_M.C_002000","....... Domestic Cement Sales","3356.8","Thousand Metric Ton","Normal","","20","Domestic Cement Sales"
"Domestic Sale and Export of Cement","31-Mar-2023","TS_GP_RLS_CEMSEC_M.C_003000","....... Export Cement Sales","438.4","Thousand Metric Ton","Normal","","30","Export Cement Sales"
"Domestic Sale and Export of Cement","28-Feb-2023","TS_GP_RLS_CEMSEC_M.C_001000",". Total Cement Sales","4034.6","Thousand Metric Ton","Normal","","10","Total Cement Sales"
"Domestic Sale and Export of Cement","28-Feb-2023","TS_GP_RLS_CEMSEC_M.C_002000","....... Domestic Cement Sales","3589.7","Thousand Metric Ton","Normal","","20","Domestic Cement Sales"
"Domestic Sale and Export of Cement","28-Feb-2023","TS_GP_RLS_CEMSEC_M.C_003000","....... Export Cement Sales","445","Thousand Metric Ton","Normal","","30","Export Cement Sales"
"Domestic Sale and Export of Cement","31-Jan-2023","TS_GP_RLS_CEMSEC_M.C_001000",". Total Cement Sales","4006.3","Thousand Metric Ton","Normal","","10","Total Cement Sales"
"Domestic Sale and Export of Cement","31-Jan-2023","TS_GP_RLS_CEMSEC_M.C_002000","....... Domestic Cement Sales","3588.3","Thousand Metric Ton","Normal","","20","Domestic Cement Sales"
"Domestic Sale and Export of Cement","31-Jan-2023","TS_GP_RLS_CEMSEC_M.C_003000","....... Export Cement Sales","418.1","Thousand Metric Ton","Normal","","30","Export Cement Sales"
"Domestic Sale and Export of Cement","31-Dec-2022","TS_GP_RLS_CEMSEC_M.C_001000",". Total Cement Sales","3880.7","Thousand Metric Ton","Normal","","10","Total Cement Sales"
