"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Sales/offtake of Fertilizers","31-Oct-2022","TS_GP_RLS_SALEFERT_M.F_001000",". Total Fertlilizer Sales/Offtake","648","Thousand Metric Ton","Normal","","10","Total Fertlilizer Sales/Offtake"
"Sales/offtake of Fertilizers","31-Oct-2022","TS_GP_RLS_SALEFERT_M.U_002000","....... Urea Sales/Offtake","367","Thousand Metric Ton","Normal","","20","Urea Sales/Offtake"
"Sales/offtake of Fertilizers","31-Oct-2022","TS_GP_RLS_SALEFERT_M.D_003000","....... DAP Sales/Offtake","281","Thousand Metric Ton","Normal","","30","DAP Sales/Offtake"
"Sales/offtake of Fertilizers","30-Sep-2022","TS_GP_RLS_SALEFERT_M.F_001000",". Total Fertlilizer Sales/Offtake","659","Thousand Metric Ton","Normal","","10","Total Fertlilizer Sales/Offtake"
"Sales/offtake of Fertilizers","30-Sep-2022","TS_GP_RLS_SALEFERT_M.U_002000","....... Urea Sales/Offtake","539","Thousand Metric Ton","Normal","","20","Urea Sales/Offtake"
"Sales/offtake of Fertilizers","30-Sep-2022","TS_GP_RLS_SALEFERT_M.D_003000","....... DAP Sales/Offtake","120","Thousand Metric Ton","Normal","","30","DAP Sales/Offtake"
"Sales/offtake of Fertilizers","31-Aug-2022","TS_GP_RLS_SALEFERT_M.F_001000",". Total Fertlilizer Sales/Offtake","578","Thousand Metric Ton","Normal","","10","Total Fertlilizer Sales/Offtake"
"Sales/offtake of Fertilizers","31-Aug-2022","TS_GP_RLS_SALEFERT_M.U_002000","....... Urea Sales/Offtake","552","Thousand Metric Ton","Normal","","20","Urea Sales/Offtake"
"Sales/offtake of Fertilizers","31-Aug-2022","TS_GP_RLS_SALEFERT_M.D_003000","....... DAP Sales/Offtake","26","Thousand Metric Ton","Normal","","30","DAP Sales/Offtake"
"Sales/offtake of Fertilizers","31-Jul-2022","TS_GP_RLS_SALEFERT_M.F_001000",". Total Fertlilizer Sales/Offtake","530","Thousand Metric Ton","Normal","","10","Total Fertlilizer Sales/Offtake"
"Sales/offtake of Fertilizers","31-Jul-2022","TS_GP_RLS_SALEFERT_M.U_002000","....... Urea Sales/Offtake","463","Thousand Metric Ton","Normal","","20","Urea Sales/Offtake"
"Sales/offtake of Fertilizers","31-Jul-2022","TS_GP_RLS_SALEFERT_M.D_003000","....... DAP Sales/Offtake","67","Thousand Metric Ton","Normal","","30","DAP Sales/Offtake"
"Sales/offtake of Fertilizers","30-Jun-2022","TS_GP_RLS_SALEFERT_M.F_001000",". Total Fertlilizer Sales/Offtake","883","Thousand Metric Ton","Normal","","10","Total Fertlilizer Sales/Offtake"
"Sales/offtake of Fertilizers","30-Jun-2022","TS_GP_RLS_SALEFERT_M.U_002000","....... Urea Sales/Offtake","737","Thousand Metric Ton","Normal","","20","Urea Sales/Offtake"
"Sales/offtake of Fertilizers","30-Jun-2022","TS_GP_RLS_SALEFERT_M.D_003000","....... DAP Sales/Offtake","146","Thousand Metric Ton","Normal","","30","DAP Sales/Offtake"
