"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00011516",". National CPI (YoY)","38","Percent","Normal","","10","National CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00021516",". Urban CPI (YoY)","35.1","Percent","Normal","","20","Urban CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00031516",". Rural CPI (YoY)","42.2","Percent","Normal","","30","Rural CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00041516",". Urban Food CPI (YoY)","48.1","Percent","Normal","","40","Urban Food CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00051516",". Rural Food CPI (YoY)","52.4","Percent","Normal","","50","Rural Food CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00061516",". Urban Non-Food CPI (YoY)","26.6","Percent","Normal","","60","Urban Non-Food CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00071516",". Rural Non-Food CPI (YoY)","32.5","Percent","Normal","","70","Rural Non-Food CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00081516",". WPI (YoY)","32.8","Percent","Normal","","80","WPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00091516",". WPI Food (YoY)","47.7","Percent","Normal","","90","WPI Food, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00101516",". WPI Non-Food (YoY)","25.6","Percent","Normal","","100","WPI Non-Food, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00111516",". SPI (YoY)","47","Percent","Normal","","110","SPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00121516",". Urban NFNE (YoY)","20","Percent","Normal","","120","Urban NFNE Core Inflation, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00131516",". Rural NFNE (YoY)","26.9","Percent","Normal","","130","Rural NFNE Core Inflation, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00141516",". Urban Trimmed (YoY)","30.5","Percent","Normal","","140","Urban Trimmed Core Inflation, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00151516",". Rural Trimmed (YoY)","38.8","Percent","Normal","","150","Rural Trimmed Core Inflation, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00161516",". National CPI (12MMA)","28.6","Percent","Normal","","160","National CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00171516",". Urban CPI (12MMA)","26.3","Percent","Normal","","170","Urban CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00181516",". Rural CPI (12MMA)","32","Percent","Normal","","180","Rural CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00191516",". Urban Food CPI (12MMA)","36.3","Percent","Normal","","190","Urban Food CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00201516",". Rural Food CPI (12MMA)","40","Percent","Normal","","200","Rural Food CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00211516",". Urban Non-Food CPI (12MMA)","20","Percent","Normal","","210","Urban Non-Food CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00221516",". Rural Non-Food CPI (12MMA)","24.6","Percent","Normal","","220","Rural Non-Food CPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00231516",". WPI (12MMA)","34.3","Percent","Normal","","230","WPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00241516",". WPI Food (12MMA)","34.3","Percent","Normal","","240","WPI Food, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00251516",". WPI Non-Food (12MMA)","34.3","Percent","Normal","","250","WPI Non-Food, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00261516",". SPI (12MMA)","36.1","Percent","Normal","","260","SPI, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00271516",". Urban NFNE (12MMA)","15.6","Percent","Normal","","270","Urban NFNE Core Inflation, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00281516",". Rural NFNE (12MMA)","19.6","Percent","Normal","","280","Rural NFNE Core Inflation, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00291516",". Urban Trimmed (12MMA)","24.4","Percent","Normal","","290","Urban Trimmed Core Inflation, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00301516",". Rural Trimmed (12MMA)","30","Percent","Normal","","300","Rural Trimmed Core Inflation, an Inflation Measure (12-Months Moving average basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00311516",". National CPI (PA)","29.2","Percent","Normal","","310","National CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00321516",". Urban CPI (PA)","26.8","Percent","Normal","","320","Urban CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00331516",". Rural CPI (PA)","32.7","Percent","Normal","","330","Rural CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00341516",". Urban Food CPI (PA)","37.3","Percent","Normal","","340","Urban Food CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00351516",". Rural Food CPI (PA)","41.1","Percent","Normal","","350","Rural Food CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00361516",". Urban Non-Food CPI (PA)","20.3","Percent","Normal","","360","Urban Non-Food CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00371516",". Rural Non-Food CPI (PA)","24.9","Percent","Normal","","370","Rural Non-Food CPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00381516",". WPI (PA)","33.9","Percent","Normal","","380","WPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00391516",". WPI Food (PA)","35.2","Percent","Normal","","390","WPI Food, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00401516",". WPI Non-Food (PA)","33.3","Percent","Normal","","400","WPI Non-Food, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00411516",". SPI (PA)","36.9","Percent","Normal","","410","SPI, an Inflation Measure (Period average Since July basis)"
"Inflation Snapshot (New Base: 2015-16)","31-May-2023","TS_GP_PT_CPI_M.P00421516",". Urban NFNE (PA)","16","Percent","Normal","","420","Urban NFNE Core Inflation, an Inflation Measure (Period average Since July basis)"
