"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Inflation Snapshot (Base Year: 2007-08)","30-Apr-2020","TS_GP_RLS_CPI0708_M.P00010708",". General CPI (YoY)","9.461951399","Percent","Normal","","10","General CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","30-Apr-2020","TS_GP_RLS_CPI0708_M.P00020708",". WPI (YoY)","7.34291328","Percent","Normal","","20","WPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","30-Apr-2020","TS_GP_RLS_CPI0708_M.P00030708",". SPI (YoY)","11.76306342","Percent","Normal","","30","SPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","30-Apr-2020","TS_GP_RLS_CPI0708_M.P00040708",". General CPI (MoM)",".09367857","Percent","Normal","","40","General CPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","30-Apr-2020","TS_GP_RLS_CPI0708_M.P00050708",". WPI (MoM)","-.772792023","Percent","Normal","","50","WPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","30-Apr-2020","TS_GP_RLS_CPI0708_M.P00060708",". SPI (MoM)","-1.237222418","Percent","Normal","","60","SPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Mar-2020","TS_GP_RLS_CPI0708_M.P00010708",". General CPI (YoY)","10.74363018","Percent","Normal","","10","General CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Mar-2020","TS_GP_RLS_CPI0708_M.P00020708",". WPI (YoY)","10.69499744","Percent","Normal","","20","WPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Mar-2020","TS_GP_RLS_CPI0708_M.P00030708",". SPI (YoY)","14.30758693","Percent","Normal","","30","SPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Mar-2020","TS_GP_RLS_CPI0708_M.P00040708",". General CPI (MoM)",".251690458","Percent","Normal","","40","General CPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Mar-2020","TS_GP_RLS_CPI0708_M.P00050708",". WPI (MoM)","-.230946882","Percent","Normal","","50","WPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Mar-2020","TS_GP_RLS_CPI0708_M.P00060708",". SPI (MoM)",".282785437","Percent","Normal","","60","SPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","29-Feb-2020","TS_GP_RLS_CPI0708_M.P00010708",". General CPI (YoY)","12.03232187","Percent","Normal","","10","General CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","29-Feb-2020","TS_GP_RLS_CPI0708_M.P00020708",". WPI (YoY)","12.83274535","Percent","Normal","","20","WPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","29-Feb-2020","TS_GP_RLS_CPI0708_M.P00030708",". SPI (YoY)","15.77655003","Percent","Normal","","30","SPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","29-Feb-2020","TS_GP_RLS_CPI0708_M.P00040708",". General CPI (MoM)","-.28842192","Percent","Normal","","40","General CPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","29-Feb-2020","TS_GP_RLS_CPI0708_M.P00050708",". WPI (MoM)","-.346988634","Percent","Normal","","50","WPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","29-Feb-2020","TS_GP_RLS_CPI0708_M.P00060708",". SPI (MoM)","-.841219769","Percent","Normal","","60","SPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Jan-2020","TS_GP_RLS_CPI0708_M.P00010708",". General CPI (YoY)","13.07017915","Percent","Normal","","10","General CPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Jan-2020","TS_GP_RLS_CPI0708_M.P00020708",". WPI (YoY)","14.24699648","Percent","Normal","","20","WPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Jan-2020","TS_GP_RLS_CPI0708_M.P00030708",". SPI (YoY)","19.33743255","Percent","Normal","","30","SPI, an Inflation Measure (Year-on-Year basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Jan-2020","TS_GP_RLS_CPI0708_M.P00040708",". General CPI (MoM)","1.579027471","Percent","Normal","","40","General CPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Jan-2020","TS_GP_RLS_CPI0708_M.P00050708",". WPI (MoM)","1.524138179","Percent","Normal","","50","WPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Jan-2020","TS_GP_RLS_CPI0708_M.P00060708",". SPI (MoM)","1.447214024","Percent","Normal","","60","SPI, an Inflation Measure (Month-on-Month basis)"
"Inflation Snapshot (Base Year: 2007-08)","31-Dec-2019","TS_GP_RLS_CPI0708_M.P00010708",". General CPI (YoY)","12.42193515","Percent","Normal","","10","General CPI, an Inflation Measure (Year-on-Year basis)"
