"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALD0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Overall)","19.28","Percent","Normal","","10","Weighted Average Lending Deposit Rates  Lending Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALD0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Overall)","17.3","Percent","Normal","","20","Weighted Average Lending Deposit Rates  Lending Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALD0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Overall)","11.13","Percent","Normal","","30","Weighted Average Lending Deposit Rates Deposit Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALD0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Overall)","10.08","Percent","Normal","","40","Weighted Average Lending Deposit Rates Deposit Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALDFC0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)","6.14","Percent","Normal","","50","Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALDFC0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Foreign Currency)","9.04","Percent","Normal","","60","Weighted Average Lending Deposit Rates  Lending Stocks (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALDFC0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Foreign Currency)","1.35","Percent","Normal","","70","Weighted Average Lending Deposit Rates Deposit Marginal (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-May-2023","TS_GP_BAM_SIRWALDR_M.WALDFC0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Foreign Currency)","2.47","Percent","Normal","","80","Weighted Average Lending Deposit Rates Deposit Stocks (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Apr-2023","TS_GP_BAM_SIRWALDR_M.WALD0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Overall)","20.15","Percent","Normal","","10","Weighted Average Lending Deposit Rates  Lending Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Apr-2023","TS_GP_BAM_SIRWALDR_M.WALD0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Overall)","17.19","Percent","Normal","","20","Weighted Average Lending Deposit Rates  Lending Stocks (Overall)"
