"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000160000",". 1. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Overall","104.6530608","Index","Normal",",,","10","Quantum Index - Overall"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000020",". 2. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Vegetable Ghee","123.6573848","Index","Normal",",,","20","Quantum Index - Vegetable Ghee"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000030",". 3. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Tea Blended","105.3040967","Index","Normal",",,","30","Quantum Index - Tea Blended"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000040",". 4. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cigarettes","42.68898771","Index","Normal",",,","40","Quantum Index - Cigarettes"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000050",". 5. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cotton Yarn","71.14955283","Index","Normal",",,","50","Quantum Index - Cotton Yarn"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000060",". 6. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cotton Cloth","83.35009329","Index","Normal",",,","60","Quantum Index - Cotton Cloth"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000070",". 7. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Jute Goods","117.7745273","Index","Normal",",,","70","Quantum Index - Jute Goods"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000080",". 8. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Paper & Board","106.1484217","Index","Normal",",,","80","Quantum Index - Paper & Board"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000090",". 9. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cement","86.76902235","Index","Normal",",,","90","Quantum Index - Cement"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000100",". 10. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Automobile","34.91025775","Index","Normal",",,","100","Quantum Index - Automobiles"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","30-Apr-2023","TS_GP_RL_LSM1516_M.LSM000110",". 11. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Fertilizers","117.7449314","Index","Normal",",,","110","Quantum Index - Fertilizers"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000160000",". 1. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Overall","115.9932321","Index","Normal",",,","10","Quantum Index - Overall"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000020",". 2. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Vegetable Ghee","132.1068756","Index","Normal",",,","20","Quantum Index - Vegetable Ghee"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000030",". 3. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Tea Blended","105.6001393","Index","Normal",",,","30","Quantum Index - Tea Blended"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000040",". 4. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cigarettes","59.68386832","Index","Normal",",,","40","Quantum Index - Cigarettes"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000050",". 5. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cotton Yarn","71.14250553","Index","Normal",",,","50","Quantum Index - Cotton Yarn"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000060",". 6. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cotton Cloth","83.3154507","Index","Normal",",,","60","Quantum Index - Cotton Cloth"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000070",". 7. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Jute Goods","144.3631833","Index","Normal",",,","70","Quantum Index - Jute Goods"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000080",". 8. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Paper & Board","131.5328517","Index","Normal",",,","80","Quantum Index - Paper & Board"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","31-Mar-2023","TS_GP_RL_LSM1516_M.LSM000090",". 9. Quantum Index of Large-scale Manufacturing (Base Period 2015-16) - Cement","123.3122601","Index","Normal",",,","90","Quantum Index - Cement"
