"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001100","....... Notes in Circulation (1)","8946095.783","Million PKR","Normal","","10","Notes in circulation outside of Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001200","....... Transferable Deposits (2)","15856168.71","Million PKR","Normal","","20","Transferable Deposits with Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001300",". M1 (1+2)","24802264.49","Million PKR","Normal","","30","M1"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001400","....... Other Deposits (4)","4621952.27","Million PKR","Normal","","40","Other Deposits with Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001500","....... Securities Other than Shares (5)","3.24","Million PKR","Normal","","50","Securities Other than Shares of Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001600","....... Coins in Circulation (6)","9061.894604","Million PKR","Normal","","60","Coins in Circulation"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001700",". M2 (M1+4+5+6)","29433281.89","Million PKR","Normal","","70","M2"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001800","....... Deposits held with Non-Bank Financial Companies (NBFCs) (8)","0","Million PKR","Normal","","80","Deposits held with Non-Bank Financial Companies (NBFCs)"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3001900","....... National Saving Schemes - Outstanding Amount (Central Directorate of National Savings-CDNS) (9)","3175451.842","Million PKR","Normal","","90","National Saving Schemes outstanding Amount"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3002000","....... Deposits held with Post Offices (10)","134572.665","Million PKR","Normal","","100","Deposits held with Post Office"
"Monetary Aggregates (M3) - Monthly Profile","30-Apr-2023","TS_GP_BAM_M3_M.MA3002100",". M3 (M2+8+9+10)","32743306.4","Million PKR","Normal","","110","M3"
"Monetary Aggregates (M3) - Monthly Profile","31-Mar-2023","TS_GP_BAM_M3_M.MA3001100","....... Notes in Circulation (1)","8253981.99","Million PKR","Normal","","10","Notes in circulation outside of Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","31-Mar-2023","TS_GP_BAM_M3_M.MA3001200","....... Transferable Deposits (2)","15819596.88","Million PKR","Normal","","20","Transferable Deposits with Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","31-Mar-2023","TS_GP_BAM_M3_M.MA3001300",". M1 (1+2)","24073578.87","Million PKR","Normal","","30","M1"
"Monetary Aggregates (M3) - Monthly Profile","31-Mar-2023","TS_GP_BAM_M3_M.MA3001400","....... Other Deposits (4)","4649735.044","Million PKR","Normal","","40","Other Deposits with Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","31-Mar-2023","TS_GP_BAM_M3_M.MA3001500","....... Securities Other than Shares (5)","3.24","Million PKR","Normal","","50","Securities Other than Shares of Depository Corporations"
"Monetary Aggregates (M3) - Monthly Profile","31-Mar-2023","TS_GP_BAM_M3_M.MA3001600","....... Coins in Circulation (6)","9077.944","Million PKR","Normal","","60","Coins in Circulation"
