"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1203171","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","791","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","1817","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","21457","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","72504","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","19576","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","48280","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","30-Apr-2023","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","1038746","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1159596","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","683","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","717","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","31921","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","85180","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","28610","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","59221","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","31-Mar-2023","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","953264","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1238770","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","636","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","1608","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","27962","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","98544","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","26284","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","70219","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","28-Feb-2023","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","1013517","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1509541","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","781","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","1228","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","26421","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","137378","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","27093","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","84303","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","31-Jan-2023","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","1232337","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1289894","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","757","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","1380","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","28758","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","88844","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","24071","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","43721","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","31-Dec-2022","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","1102363","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1542021","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","966","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","2038","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","28760","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","81326","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","24152","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","71803","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","30-Nov-2022","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","1332976","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1687044","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","1189","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","2011","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","25284","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","88120","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","24748","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","160189","Metric Ton","Normal","","70","POL sales to Power Sector"
"POL Sales by Sector","31-Oct-2022","TS_GP_RLS_POLSALE_M.P_008000","......7 POL sales to Transport","1385503","Metric Ton","Normal","","80","POL sales to Transport"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_001000",". Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Trans etc)","1555185","Metric Ton","Normal","","10","Overall POL sales to various sectors (Agri, Govt, Ind, Pow, Transp etc)"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_002000","......1 POL sales to Agriculture","842","Metric Ton","Normal","","20","POL sales to Agriculture"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_003000","......2 POL sales to Domestic","1688","Metric Ton","Normal","","30","POL sales to Domestic"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_004000","......3 POL sales to Government","28754","Metric Ton","Normal","","40","POL sales to Government"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_005000","......4 POL sales to Industry","104423","Metric Ton","Normal","","50","POL sales to Industry"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_006000","......5 POL sales to Overseas","23618","Metric Ton","Normal","","60","POL sales to Overseas"
"POL Sales by Sector","30-Sep-2022","TS_GP_RLS_POLSALE_M.P_007000","......6 POL sales to Power Sector","257903","Metric Ton","Normal","","70","POL sales to Power Sector"
