"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","05-Apr-2023","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","22","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","05-Apr-2023","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","20","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","05-Apr-2023","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","21","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","03-Mar-2023","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","21","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","03-Mar-2023","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","19","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","03-Mar-2023","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","20","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Jan-2023","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","18","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Jan-2023","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","16","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Jan-2023","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","17","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","28-Nov-2022","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","17","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
