"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: Repo Market Rates","22-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.86","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","21-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.18","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","20-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.9","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","19-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.59","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","16-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.28","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","15-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.42","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","14-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.52","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","13-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.64","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","12-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.99","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","09-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.15","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","08-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.16","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","07-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.08","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","06-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.3","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","05-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.11","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","02-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.49","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","01-Jun-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","20.76","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","31-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.45","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","30-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.03","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","29-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.09","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","26-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.15","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","25-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.27","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","24-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.23","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","23-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.4","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","22-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.59","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
"Structure of Interest Rate: Repo Market Rates","19-May-2023","TS_GP_IR_REPOMR_D.ORR",". Weighted-average Overnight Repo Rate","21.4","Percent","Normal","","10","Weighted-average Overnight Repo Rate"
