"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","8528","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","3679","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","4849","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","10600","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","4083","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","3765","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2023","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2751","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","9457","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","4458","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","4999","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","11504","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","4121","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","4559","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2023","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2824","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","9164","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","4208","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","4956","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","11268","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","4115","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","4299","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2023","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2855","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","8751","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","3864","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","4887","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","9873","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3793","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","3974","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2106","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","8169","Million USD","Normal","","10","Total Liquid FX Reserves"
