series_name,date,trade_type,value,series_name2
Live Animals and Animals Products,2023-05-31,exports,104902.949,Live Animals and Animals Products
Vegetable Products,2023-05-31,exports,290558.386,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-05-31,exports,1791.843,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-05-31,exports,109495.644,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2023-05-31,exports,85961.103,Mineral Products
Products of Chemical or Allied Industries,2023-05-31,exports,41941.56,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-05-31,exports,29222.85,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-05-31,exports,65184.204,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2023-05-31,exports,3194.61,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-05-31,exports,9802.289,Other
Textiles and Textile articles,2023-05-31,exports,1334653.802,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-05-31,exports,15089.691,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-05-31,exports,4800.45,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-05-31,exports,1530.635,Other
Base Metals and articles or Base Metal,2023-05-31,exports,84079.994,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-05-31,exports,17173.698,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-05-31,exports,7651.426,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-05-31,exports,38569.792,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-05-31,exports,55986.581,Other
Miscellaneous Manufactured articles,2023-05-31,exports,53597.727,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-05-31,exports,5891.435,Other
Live Animals and Animals Products,2023-04-30,exports,94787.03,Live Animals and Animals Products
Vegetable Products,2023-04-30,exports,326389.724,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-04-30,exports,1200.345,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-04-30,exports,110104.049,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2023-04-30,exports,85199.151,Mineral Products
Products of Chemical or Allied Industries,2023-04-30,exports,39286.578,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-04-30,exports,23531.906,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-04-30,exports,76047.689,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2023-04-30,exports,2663.263,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-04-30,exports,4238.751,Other
Textiles and Textile articles,2023-04-30,exports,1184279.706,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-04-30,exports,17391.402,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-04-30,exports,4719.598,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-04-30,exports,1873.878,Other
Base Metals and articles or Base Metal,2023-04-30,exports,71528.442,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-04-30,exports,14806.451,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-04-30,exports,7578.222,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-04-30,exports,40699.59,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-04-30,exports,58651.303,Other
Miscellaneous Manufactured articles,2023-04-30,exports,44879.842,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-04-30,exports,2.265,Other
Live Animals and Animals Products,2023-03-31,exports,96079.743,Live Animals and Animals Products
Vegetable Products,2023-03-31,exports,292589.291,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-03-31,exports,4630.937,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-03-31,exports,150950.091,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2023-03-31,exports,92018.369,Mineral Products
Products of Chemical or Allied Industries,2023-03-31,exports,44496.427,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-03-31,exports,35819.1,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-03-31,exports,78777.781,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2023-03-31,exports,2508.288,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-03-31,exports,5406.669,Other
Textiles and Textile articles,2023-03-31,exports,1321141.09,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-03-31,exports,16564.173,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-03-31,exports,5321.511,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-03-31,exports,4166.582,Other
Base Metals and articles or Base Metal,2023-03-31,exports,91134.924,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-03-31,exports,14001.084,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-03-31,exports,7297.682,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-03-31,exports,42010.452,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-03-31,exports,66629.674,Other
Miscellaneous Manufactured articles,2023-03-31,exports,53314.643,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-03-31,exports,841.811,Other
Live Animals and Animals Products,2023-02-28,exports,73538.019,Live Animals and Animals Products
Vegetable Products,2023-02-28,exports,224958.596,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-02-28,exports,2579.139,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-02-28,exports,158363.616,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2023-02-28,exports,68575.051,Mineral Products
Products of Chemical or Allied Industries,2023-02-28,exports,41264.335,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-02-28,exports,35309.55,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-02-28,exports,82918.908,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2023-02-28,exports,1828.693,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-02-28,exports,4255.262,Other
