series_name,date,value
Overall,2001-06-30,3.64
Agriculture,2001-06-30,-0.09
Manufacturing,2001-06-30,10.67
Agriculture + Manufacturing,2001-06-30,2.24
Services,2001-06-30,4.95
Overall,2002-06-30,2.62
Agriculture,2002-06-30,1.26
Manufacturing,2002-06-30,4.27
Agriculture + Manufacturing,2002-06-30,1.48
Services,2002-06-30,3.68
Overall,2003-06-30,5.17
Agriculture,2003-06-30,3.56
Manufacturing,2003-06-30,7.41
Agriculture + Manufacturing,2003-06-30,4.62
Services,2003-06-30,5.66
Overall,2004-06-30,7.69
Agriculture,2004-06-30,3.09
Manufacturing,2004-06-30,16.34
Agriculture + Manufacturing,2004-06-30,8.28
Services,2004-06-30,7.17
Overall,2005-06-30,8
Agriculture,2005-06-30,6.79
Manufacturing,2005-06-30,15.73
Agriculture + Manufacturing,2005-06-30,7.68
Services,2005-06-30,8.28
Overall,2006-06-30,5.66
Agriculture,2006-06-30,1.89
Manufacturing,2006-06-30,10.44
Agriculture + Manufacturing,2006-06-30,2.45
Services,2006-06-30,8.53
Overall,2007-06-30,5.11
Agriculture,2007-06-30,3.48
Manufacturing,2007-06-30,8.06
Agriculture + Manufacturing,2007-06-30,5.02
Services,2007-06-30,5.19
Overall,2008-06-30,4.44
Agriculture,2008-06-30,0.81
Manufacturing,2008-06-30,6.14
Agriculture + Manufacturing,2008-06-30,4.12
Services,2008-06-30,4.72
Overall,2009-06-30,1.06
Agriculture,2009-06-30,3.41
Manufacturing,2009-06-30,-3.94
Agriculture + Manufacturing,2009-06-30,0.14
Services,2009-06-30,1.84
Overall,2010-06-30,2.26
Agriculture,2010-06-30,0.31
Manufacturing,2010-06-30,1.73
Agriculture + Manufacturing,2010-06-30,1.82
Services,2010-06-30,2.63
Overall,2011-06-30,3.2
Agriculture,2011-06-30,2.71
Manufacturing,2011-06-30,2.61
Agriculture + Manufacturing,2011-06-30,3.63
Services,2011-06-30,2.86
Overall,2012-06-30,3.2
Agriculture,2012-06-30,3.23
Manufacturing,2012-06-30,2.01
Agriculture + Manufacturing,2012-06-30,2.85
Services,2012-06-30,3.48
Overall,2013-06-30,3.86
Agriculture,2013-06-30,3.14
Manufacturing,2013-06-30,5.37
Agriculture + Manufacturing,2013-06-30,2.29
Services,2013-06-30,5.13
Overall,2014-06-30,3.56
Agriculture,2014-06-30,2.42
Manufacturing,2014-06-30,5.76
Agriculture + Manufacturing,2014-06-30,3.23
Services,2014-06-30,3.82
Overall,2015-06-30,3.81
Agriculture,2015-06-30,1.78
Manufacturing,2015-06-30,4.12
Agriculture + Manufacturing,2015-06-30,3.32
Services,2015-06-30,4.2
Overall,2016-06-30,4.07
Agriculture,2016-06-30,0.41
Manufacturing,2016-06-30,4.03
Agriculture + Manufacturing,2016-06-30,2.85
Services,2016-06-30,5.03
Overall,2017-06-30,4.61
Agriculture,2017-06-30,2.22
Manufacturing,2017-06-30,4.87
Agriculture + Manufacturing,2017-06-30,3.29
Services,2017-06-30,5.62
Overall,2018-06-30,6.1
Agriculture,2018-06-30,3.88
Manufacturing,2018-06-30,7.08
Agriculture + Manufacturing,2018-06-30,6.29
Services,2018-06-30,5.95
Overall,2019-06-30,3.12
Agriculture,2019-06-30,0.94
Manufacturing,2019-06-30,4.52
Agriculture + Manufacturing,2019-06-30,0.62
Services,2019-06-30,5
Overall,2020-06-30,-0.94
Agriculture,2020-06-30,3.91
Manufacturing,2020-06-30,-7.8
Agriculture + Manufacturing,2020-06-30,-0.58
Services,2020-06-30,-1.21
Overall,2021-06-30,5.77
Agriculture,2021-06-30,3.52
Manufacturing,2021-06-30,10.52
Agriculture + Manufacturing,2021-06-30,5.58
Services,2021-06-30,5.91
Overall,2022-06-30,6.1
Agriculture,2022-06-30,4.27
Manufacturing,2022-06-30,10.86
Agriculture + Manufacturing,2022-06-30,5.43
Services,2022-06-30,6.59
Overall,2023-06-30,0.29
Agriculture,2023-06-30,1.55
Manufacturing,2023-06-30,-3.91
Agriculture + Manufacturing,2023-06-30,-0.51
Services,2023-06-30,0.86
