series_name,date,trade_type,value,series_name2
Live Animals and Animals Products,2023-05-31,imports,4199.44,Other
Vegetable Products,2023-05-31,imports,195235.319,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-05-31,imports,368740.43,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-05-31,imports,36044.251,Other
Mineral Products,2023-05-31,imports,1280857.043,Mineral Products
Products of Chemical or Allied Industries,2023-05-31,imports,483393.722,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-05-31,imports,156150.999,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-05-31,imports,2622.717,Other
Wood and articles of Wood,2023-05-31,imports,5991.89,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-05-31,imports,35154.177,Other
Textiles and Textile articles,2023-05-31,imports,399465.64,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-05-31,imports,590.525,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-05-31,imports,7268.785,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-05-31,imports,0.664,Other
Base Metals and articles or Base Metal,2023-05-31,imports,251728.749,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-05-31,imports,284467.242,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-05-31,imports,91730.696,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-05-31,imports,62005.631,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-05-31,imports,381.118,Other
Miscellaneous Manufactured articles,2023-05-31,imports,15104.08,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-05-31,imports,65288.067,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2023-04-30,imports,7166.608,Other
Vegetable Products,2023-04-30,imports,284928.506,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-04-30,imports,244835.763,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-04-30,imports,28337.957,Other
Mineral Products,2023-04-30,imports,1337165.062,Mineral Products
Products of Chemical or Allied Industries,2023-04-30,imports,333674.1,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-04-30,imports,153340.157,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-04-30,imports,1931.097,Other
Wood and articles of Wood,2023-04-30,imports,3983.635,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-04-30,imports,44530.426,Other
Textiles and Textile articles,2023-04-30,imports,369901.012,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-04-30,imports,441.014,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-04-30,imports,6728.912,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-04-30,imports,8.472,Other
Base Metals and articles or Base Metal,2023-04-30,imports,198250.5,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-04-30,imports,289478.79,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-04-30,imports,104002.402,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-04-30,imports,54085.397,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-04-30,imports,44.2,Other
Miscellaneous Manufactured articles,2023-04-30,imports,13093.229,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-04-30,imports,71491.167,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2023-03-31,imports,9181.08,Other
Vegetable Products,2023-03-31,imports,294721.265,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-03-31,imports,222928.855,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-03-31,imports,23462.723,Other
Mineral Products,2023-03-31,imports,1538797.588,Mineral Products
Products of Chemical or Allied Industries,2023-03-31,imports,482791.647,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-03-31,imports,175797.2,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-03-31,imports,2526.927,Other
Wood and articles of Wood,2023-03-31,imports,4404.231,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-03-31,imports,36339.634,Other
Textiles and Textile articles,2023-03-31,imports,428577.253,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-03-31,imports,913.46,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-03-31,imports,8280.14,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-03-31,imports,79.377,Other
Base Metals and articles or Base Metal,2023-03-31,imports,203015.515,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-03-31,imports,313957.804,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-03-31,imports,88166.819,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-03-31,imports,50494.631,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-03-31,imports,2442.008,Other
Miscellaneous Manufactured articles,2023-03-31,imports,15312.73,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-03-31,imports,28466.78,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2023-02-28,imports,5327.723,Other
Vegetable Products,2023-02-28,imports,386683.193,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-02-28,imports,360722.677,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-02-28,imports,32077.021,Other
Mineral Products,2023-02-28,imports,1347059.917,Mineral Products
Products of Chemical or Allied Industries,2023-02-28,imports,433547.616,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-02-28,imports,177060.749,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-02-28,imports,2373.181,Other
Wood and articles of Wood,2023-02-28,imports,4760.399,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-02-28,imports,43080.588,Other
Textiles and Textile articles,2023-02-28,imports,319825.799,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-02-28,imports,1492.391,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-02-28,imports,8530.755,Other
