series_name,date,value
One-Year Karachi Interbank Offer Rate,2004-07-31,NA
One-Year Karachi Interbank Offer Rate,2004-08-31,NA
One-Year Karachi Interbank Offer Rate,2004-09-30,NA
One-Year Karachi Interbank Offer Rate,2004-10-31,NA
One-Year Karachi Interbank Offer Rate,2004-11-30,NA
One-Year Karachi Interbank Offer Rate,2004-12-31,NA
One-Year Karachi Interbank Offer Rate,2005-01-31,NA
One-Year Karachi Interbank Offer Rate,2005-02-28,NA
One-Year Karachi Interbank Offer Rate,2005-03-31,NA
One-Year Karachi Interbank Offer Rate,2005-04-30,NA
One-Year Karachi Interbank Offer Rate,2005-05-31,NA
One-Year Karachi Interbank Offer Rate,2005-06-30,9.448947368421052
One-Year Karachi Interbank Offer Rate,2005-07-31,9.426153846153847
One-Year Karachi Interbank Offer Rate,2005-08-31,9.526666666666667
One-Year Karachi Interbank Offer Rate,2005-09-30,9.524615384615384
One-Year Karachi Interbank Offer Rate,2005-10-31,9.56076923076923
One-Year Karachi Interbank Offer Rate,2005-11-30,9.593461538461538
One-Year Karachi Interbank Offer Rate,2005-12-31,9.608518518518519
One-Year Karachi Interbank Offer Rate,2006-01-31,9.605384615384615
One-Year Karachi Interbank Offer Rate,2006-02-28,9.670833333333334
One-Year Karachi Interbank Offer Rate,2006-03-31,9.752222222222223
One-Year Karachi Interbank Offer Rate,2006-04-30,9.8524
One-Year Karachi Interbank Offer Rate,2006-05-31,10.050740740740741
One-Year Karachi Interbank Offer Rate,2006-06-30,10.08
One-Year Karachi Interbank Offer Rate,2006-07-31,10.3508
One-Year Karachi Interbank Offer Rate,2006-08-31,10.862692307692308
One-Year Karachi Interbank Offer Rate,2006-09-30,10.8188
One-Year Karachi Interbank Offer Rate,2006-10-31,10.870909090909091
One-Year Karachi Interbank Offer Rate,2006-11-30,10.913461538461538
One-Year Karachi Interbank Offer Rate,2006-12-31,10.948076923076924
One-Year Karachi Interbank Offer Rate,2007-01-31,10.954090909090908
One-Year Karachi Interbank Offer Rate,2007-02-28,10.916086956521738
One-Year Karachi Interbank Offer Rate,2007-03-31,10.850769230769231
One-Year Karachi Interbank Offer Rate,2007-04-30,10.6308
One-Year Karachi Interbank Offer Rate,2007-05-31,10.504615384615384
One-Year Karachi Interbank Offer Rate,2007-06-30,10.451538461538462
One-Year Karachi Interbank Offer Rate,2007-07-31,10.356
One-Year Karachi Interbank Offer Rate,2007-08-31,10.532307692307691
One-Year Karachi Interbank Offer Rate,2007-09-30,10.489166666666668
One-Year Karachi Interbank Offer Rate,2007-10-31,10.46125
One-Year Karachi Interbank Offer Rate,2007-11-30,10.4136
One-Year Karachi Interbank Offer Rate,2007-12-31,10.426
One-Year Karachi Interbank Offer Rate,2008-01-31,10.4468
One-Year Karachi Interbank Offer Rate,2008-02-29,10.711739130434783
One-Year Karachi Interbank Offer Rate,2008-03-31,10.702
