s1,s2,s3,s4,date,value
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-06-02,8686761.396
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-06-02,104249.6631
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-06-02,19070234.34
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-06-02,719446.3698
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-06-02,1489420.078
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-06-02,-2245481.143
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-06-02,-645532.6201
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-06-02,21481749.94
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-06-02,1542232.065
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-06-02,-16733.10175
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-06-02,8982291.996
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-06-02,1630736.762
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-06-02,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-06-02,459317.2363
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-06-02,-1094225.455
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-05-26,8676817.929
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-05-26,103067.195
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-05-26,18591965.22
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-05-26,675979.1068
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-05-26,1489420.078
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-05-26,-2217704.451
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-05-26,-590526.4571
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-05-26,21557693.65
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-05-26,1480255.905
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-05-26,-16743.090510000002
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-05-26,8971244.914
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-05-26,1656367.964
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-05-26,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-05-26,435558.4765
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-05-26,-1714653.539
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-05-19,8802796.319
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-05-19,104065.1191
