date,value,series_name
2021-07-31,100,USD/PKR
2021-08-31,102.81837451336867,USD/PKR
2021-09-30,105.2976727904514,USD/PKR
2021-10-31,107.57713218248959,USD/PKR
2021-11-30,108.41090154432125,USD/PKR
2021-12-31,111.01166228495332,USD/PKR
2022-01-31,110.46936687108175,USD/PKR
2022-02-28,109.95021847247357,USD/PKR
2022-03-31,112.54104322068359,USD/PKR
2022-04-30,115.58867048996653,USD/PKR
2022-05-31,122.4927804751997,USD/PKR
2022-06-30,128.0485027305903,USD/PKR
2022-07-31,137.49055703217354,USD/PKR
2022-08-31,138.39857816938405,USD/PKR
2022-09-30,144.40074784727526,USD/PKR
2022-10-31,138.20191657136004,USD/PKR
2022-11-30,139.2908935714674,USD/PKR
2022-12-31,140.82718897547693,USD/PKR
2023-01-31,146.7002805379654,USD/PKR
2023-02-28,167.08885446998514,USD/PKR
2023-03-31,175.56373520909764,USD/PKR
2023-04-30,178.53562306100358,USD/PKR
2023-05-31,178.87416145797212,USD/PKR
2023-06-30,NA,USD/PKR
2021-07-31,100,Trade Balance (incl. Services)
2021-08-31,117.45200698080279,Trade Balance (incl. Services)
2021-09-30,106.10820244328097,Trade Balance (incl. Services)
2021-10-31,114.74694589877836,Trade Balance (incl. Services)
2021-11-30,118.12100058173357,Trade Balance (incl. Services)
2021-12-31,114.543339150669,Trade Balance (incl. Services)
2022-01-31,122.6585223967423,Trade Balance (incl. Services)
2022-02-28,75.15997673065736,Trade Balance (incl. Services)
2022-03-31,99.97091332169866,Trade Balance (incl. Services)
2022-04-30,94.61896451425247,Trade Balance (incl. Services)
2022-05-31,104.47934845840605,Trade Balance (incl. Services)
2022-06-30,137.84176847004073,Trade Balance (incl. Services)
2022-07-31,96.91681210005817,Trade Balance (incl. Services)
2022-08-31,97.76032577079698,Trade Balance (incl. Services)
2022-09-30,74.956369982548,Trade Balance (incl. Services)
2022-10-31,70.85514834205934,Trade Balance (incl. Services)
2022-11-30,58.20244328097731,Trade Balance (incl. Services)
2022-12-31,54.88656195462478,Trade Balance (incl. Services)
2023-01-31,49.21465968586387,Trade Balance (incl. Services)
2023-02-28,51.01803374054683,Trade Balance (incl. Services)
2023-03-31,45.89877835951135,Trade Balance (incl. Services)
2023-04-30,49.91273996509599,Trade Balance (incl. Services)
2023-05-31,41.85573007562537,Trade Balance (incl. Services)
2023-06-30,NA,Trade Balance (incl. Services)
2021-07-31,100,CA Balance
2021-08-31,179.16181606519208,CA Balance
2021-09-30,135.27357392316648,CA Balance
2021-10-31,200.8149010477299,CA Balance
2021-11-30,229.80209545983703,CA Balance
2021-12-31,215.71594877764844,CA Balance
2022-01-31,277.0663562281723,CA Balance
2022-02-28,62.980209545983705,CA Balance
2022-03-31,114.20256111757858,CA Balance
2022-04-30,74.50523864959256,CA Balance
2022-05-31,175.32013969732247,CA Balance
2022-06-30,270.197904540163,CA Balance
2022-07-31,146.7986030267753,CA Balance
2022-08-31,90.104772991851,CA Balance
2022-09-30,47.84633294528521,CA Balance
2022-10-31,96.27473806752037,CA Balance
2022-11-30,16.530849825378347,CA Balance
2022-12-31,40.162980209545985,CA Balance
2023-01-31,26.77532013969732,CA Balance
2023-02-28,4.190919674039581,CA Balance
2023-03-31,-87.31082654249127,CA Balance
2023-04-30,-9.080325960419092,CA Balance
2023-05-31,-29.68568102444703,CA Balance
2023-06-30,NA,CA Balance
2021-07-31,100,SBP Reserves
2021-08-31,111.86305673965754,SBP Reserves
2021-09-30,107.1000239812474,SBP Reserves
2021-10-31,96.7045291920921,SBP Reserves
2021-11-30,90.19422149891159,SBP Reserves
2021-12-31,98.99298151125224,SBP Reserves
2022-01-31,93.17433801519758,SBP Reserves
2022-02-28,92.43317438878405,SBP Reserves
2022-03-31,67.00014004912188,SBP Reserves
2022-04-30,62.00250431237406,SBP Reserves
2022-05-31,56.05262612194982,SBP Reserves
2022-06-30,57.60391871885181,SBP Reserves
2022-07-31,48.2682461919224,SBP Reserves
2022-08-31,49.73762408226652,SBP Reserves
2022-09-30,44.68169108963015,SBP Reserves
2022-10-31,50.34351638101891,SBP Reserves
2022-11-30,44.684288638228544,SBP Reserves
2022-12-31,31.99313076255437,SBP Reserves
2023-01-31,20.799334536720455,SBP Reserves
2023-02-28,25.24984053389342,SBP Reserves
2023-03-31,27.594105167064,SBP Reserves
2023-04-30,29.47010403357729,SBP Reserves
2023-05-31,25.26016071982832,SBP Reserves
2023-06-30,NA,SBP Reserves
2021-07-31,100,Workers' Remittances
2021-08-31,98.06286549707602,Workers' Remittances
2021-09-30,101.60818713450293,Workers' Remittances
2021-10-31,96.0891812865497,Workers' Remittances
2021-11-30,89.91228070175438,Workers' Remittances
2021-12-31,92.10526315789474,Workers' Remittances
2022-01-31,79.67836257309942,Workers' Remittances
2022-02-28,80.26315789473684,Workers' Remittances
2022-03-31,103.61842105263158,Workers' Remittances
2022-04-30,114.18128654970761,Workers' Remittances
2022-05-31,85.74561403508773,Workers' Remittances
2022-06-30,101.97368421052632,Workers' Remittances
2022-07-31,91.77631578947368,Workers' Remittances
2022-08-31,100.29239766081871,Workers' Remittances
2022-09-30,88.85233918128655,Workers' Remittances
2022-10-31,80.99415204678363,Workers' Remittances
2022-11-30,77.046783625731,Workers' Remittances
2022-12-31,76.82748538011695,Workers' Remittances
2023-01-31,69.22514619883042,Workers' Remittances
2023-02-28,72.6608187134503,Workers' Remittances
2023-03-31,92.7266081871345,Workers' Remittances
2023-04-30,80.33625730994152,Workers' Remittances
2023-05-31,76.8640350877193,Workers' Remittances
2023-06-30,NA,Workers' Remittances
2021-07-31,100,M2
2021-08-31,99.47089263684124,M2
2021-09-30,100.5350339858464,M2
2021-10-31,100.72521073229406,M2
2021-11-30,100.57586948021014,M2
2021-12-31,106.13252666922317,M2
2022-01-31,102.47991561932476,M2
2022-02-28,102.22723318940731,M2
2022-03-31,106.44720583282451,M2
2022-04-30,107.81443854622097,M2
2022-05-31,108.75762848529993,M2
2022-06-30,115.58771673116698,M2
2022-07-31,113.88823214215289,M2
2022-08-31,113.31961283044923,M2
2022-09-30,116.97486854323041,M2
2022-10-31,115.27795902070743,M2
2022-11-30,115.6086631094248,M2
2022-12-31,117.0055317000151,M2
2023-01-31,115.88540968519575,M2
2023-02-28,116.90808444042764,M2
2023-03-31,120.58600106495628,M2
2023-04-30,122.8135483593779,M2
2023-05-31,123.68748415187673,M2
2023-06-30,125.91884961656959,M2
