date,series_name,value
1972-07-31,EU Countries,0.1
1972-07-31,Other Countries,1.7000000000000002
1972-07-31,Other GCC Countries,1.5
1972-07-31,Saudi Arabia,0.6
1972-07-31,U.A.E.,0
1972-07-31,U.K.,5
1972-07-31,USA,0.6
1972-08-31,EU Countries,0.1
1972-08-31,Other Countries,1.8
1972-08-31,Other GCC Countries,2.6
1972-08-31,Saudi Arabia,0.8
1972-08-31,U.A.E.,0
1972-08-31,U.K.,7.5
1972-08-31,USA,0.8
1972-09-30,EU Countries,0.1
1972-09-30,Other Countries,1.8
1972-09-30,Other GCC Countries,2
1972-09-30,Saudi Arabia,0.8
1972-09-30,U.A.E.,0
1972-09-30,U.K.,6.1
1972-09-30,USA,0.7
1972-10-31,EU Countries,0.2
1972-10-31,Other Countries,1.3
1972-10-31,Other GCC Countries,1.9
1972-10-31,Saudi Arabia,0.6
1972-10-31,U.A.E.,0
1972-10-31,U.K.,5.9
1972-10-31,USA,0.8
1972-11-30,EU Countries,0.2
1972-11-30,Other Countries,2
1972-11-30,Other GCC Countries,1.9
1972-11-30,Saudi Arabia,0.5
1972-11-30,U.A.E.,0
1972-11-30,U.K.,5.8
1972-11-30,USA,0.7
1972-12-31,EU Countries,0.2
1972-12-31,Other Countries,2.1
1972-12-31,Other GCC Countries,1.9
1972-12-31,Saudi Arabia,0.6
1972-12-31,U.A.E.,0
1972-12-31,U.K.,6.5
1972-12-31,USA,0.9
1973-01-31,EU Countries,0.1
1973-01-31,Other Countries,2.1
1973-01-31,Other GCC Countries,1.9
1973-01-31,Saudi Arabia,0.5
1973-01-31,U.A.E.,0
1973-01-31,U.K.,7.2
1973-01-31,USA,0.9
1973-02-28,EU Countries,0.2
1973-02-28,Other Countries,1
1973-02-28,Other GCC Countries,1.7
1973-02-28,Saudi Arabia,0.6
1973-02-28,U.A.E.,0
1973-02-28,U.K.,6.3
1973-02-28,USA,0.8
1973-03-31,EU Countries,0.2
1973-03-31,Other Countries,1.1
1973-03-31,Other GCC Countries,2
1973-03-31,Saudi Arabia,0.6
1973-03-31,U.A.E.,0
1973-03-31,U.K.,5.3
1973-03-31,USA,0.9
1973-04-30,EU Countries,0.2
1973-04-30,Other Countries,1.7
1973-04-30,Other GCC Countries,2.1
1973-04-30,Saudi Arabia,0.7
1973-04-30,U.A.E.,0
1973-04-30,U.K.,6
1973-04-30,USA,0.9
1973-05-31,EU Countries,0.2
1973-05-31,Other Countries,1.4000000000000001
1973-05-31,Other GCC Countries,2.4
1973-05-31,Saudi Arabia,0.8
1973-05-31,U.A.E.,0
1973-05-31,U.K.,5.3
1973-05-31,USA,1
1973-06-30,EU Countries,0.2
1973-06-30,Other Countries,2.5
1973-06-30,Other GCC Countries,2.1
1973-06-30,Saudi Arabia,0.9
1973-06-30,U.A.E.,0
1973-06-30,U.K.,5.3
1973-06-30,USA,1.1
1973-07-31,EU Countries,0.3
1973-07-31,Other Countries,2
1973-07-31,Other GCC Countries,2.4
1973-07-31,Saudi Arabia,0.8
1973-07-31,U.A.E.,0
1973-07-31,U.K.,5.1
1973-07-31,USA,1.1
1973-08-31,EU Countries,0.3
1973-08-31,Other Countries,2.1
1973-08-31,Other GCC Countries,2.5
1973-08-31,Saudi Arabia,0.9
1973-08-31,U.A.E.,0
1973-08-31,U.K.,5
1973-08-31,USA,1.5
1973-09-30,EU Countries,0.3
1973-09-30,Other Countries,2.2
1973-09-30,Other GCC Countries,1.9
1973-09-30,Saudi Arabia,0.7
1973-09-30,U.A.E.,0
1973-09-30,U.K.,4.2
1973-09-30,USA,1
1973-10-31,EU Countries,0.4
1973-10-31,Other Countries,2
1973-10-31,Other GCC Countries,2.1
1973-10-31,Saudi Arabia,0.8
1973-10-31,U.A.E.,0
1973-10-31,U.K.,4.3
1973-10-31,USA,1.1
1973-11-30,EU Countries,0.4
1973-11-30,Other Countries,2.1
1973-11-30,Other GCC Countries,2.1
1973-11-30,Saudi Arabia,1
1973-11-30,U.A.E.,0
1973-11-30,U.K.,3.9
1973-11-30,USA,1.3
1973-12-31,EU Countries,0.3
1973-12-31,Other Countries,1.9000000000000001
1973-12-31,Other GCC Countries,1.8
1973-12-31,Saudi Arabia,0.9
1973-12-31,U.A.E.,0
1973-12-31,U.K.,3.6
1973-12-31,USA,1.4
1974-01-31,EU Countries,0.3
1974-01-31,Other Countries,2.3
1974-01-31,Other GCC Countries,2.1
1974-01-31,Saudi Arabia,0.6
1974-01-31,U.A.E.,0
1974-01-31,U.K.,3.8
1974-01-31,USA,1
1974-02-28,EU Countries,0.3
1974-02-28,Other Countries,2.1
1974-02-28,Other GCC Countries,1.9
1974-02-28,Saudi Arabia,0.7
1974-02-28,U.A.E.,0
1974-02-28,U.K.,5.9
1974-02-28,USA,1
1974-03-31,EU Countries,0.3
1974-03-31,Other Countries,2.1
1974-03-31,Other GCC Countries,2.4
1974-03-31,Saudi Arabia,0.7
1974-03-31,U.A.E.,0
1974-03-31,U.K.,3.5
1974-03-31,USA,1.1
1974-04-30,EU Countries,0.3
1974-04-30,Other Countries,2.3
1974-04-30,Other GCC Countries,2.6
1974-04-30,Saudi Arabia,0.8
1974-04-30,U.A.E.,0
1974-04-30,U.K.,4.5
1974-04-30,USA,1.1
1974-05-31,EU Countries,0.3
1974-05-31,Other Countries,2.3
1974-05-31,Other GCC Countries,3.3
1974-05-31,Saudi Arabia,1.4
1974-05-31,U.A.E.,0
1974-05-31,U.K.,6.1
1974-05-31,USA,1.6
1974-06-30,EU Countries,0.5
1974-06-30,Other Countries,2.7
1974-06-30,Other GCC Countries,3.9
1974-06-30,Saudi Arabia,1.2
1974-06-30,U.A.E.,0
1974-06-30,U.K.,5.6
1974-06-30,USA,1.1
1974-07-31,EU Countries,0.4
1974-07-31,Other Countries,3.5
1974-07-31,Other GCC Countries,2.6
1974-07-31,Saudi Arabia,1.2
1974-07-31,U.A.E.,1.3
1974-07-31,U.K.,5.7
1974-07-31,USA,1.3
1974-08-31,EU Countries,0.5
1974-08-31,Other Countries,3.1
1974-08-31,Other GCC Countries,2.3
1974-08-31,Saudi Arabia,1.1
1974-08-31,U.A.E.,1.3
1974-08-31,U.K.,5.6
1974-08-31,USA,1.5
1974-09-30,EU Countries,0.4
1974-09-30,Other Countries,3.8
1974-09-30,Other GCC Countries,2.5
1974-09-30,Saudi Arabia,1.3
1974-09-30,U.A.E.,1.3
1974-09-30,U.K.,4.7
1974-09-30,USA,1.4
1974-10-31,EU Countries,0.4
1974-10-31,Other Countries,3
1974-10-31,Other GCC Countries,2.6
1974-10-31,Saudi Arabia,1.3
1974-10-31,U.A.E.,1
1974-10-31,U.K.,5.7
1974-10-31,USA,1.5
1974-11-30,EU Countries,0.4
1974-11-30,Other Countries,4.2
1974-11-30,Other GCC Countries,2.4
1974-11-30,Saudi Arabia,1.2
1974-11-30,U.A.E.,1.5
1974-11-30,U.K.,4.9
1974-11-30,USA,1.4
1974-12-31,EU Countries,0.4
1974-12-31,Other Countries,3.5
1974-12-31,Other GCC Countries,2.7
1974-12-31,Saudi Arabia,1.4
1974-12-31,U.A.E.,1.6
1974-12-31,U.K.,4.9
1974-12-31,USA,1.5
1975-01-31,EU Countries,0.4
1975-01-31,Other Countries,3.4
1975-01-31,Other GCC Countries,2.8
1975-01-31,Saudi Arabia,1.1
1975-01-31,U.A.E.,1
1975-01-31,U.K.,6.9
1975-01-31,USA,1.8
1975-02-28,EU Countries,0.4
1975-02-28,Other Countries,3.4
1975-02-28,Other GCC Countries,2.9
1975-02-28,Saudi Arabia,1.3
1975-02-28,U.A.E.,1.8
1975-02-28,U.K.,7
1975-02-28,USA,1.6
1975-03-31,EU Countries,0.5
1975-03-31,Other Countries,3.6
1975-03-31,Other GCC Countries,4
1975-03-31,Saudi Arabia,1.6
1975-03-31,U.A.E.,3.1
1975-03-31,U.K.,8.1
1975-03-31,USA,1.7
1975-04-30,EU Countries,0.6
1975-04-30,Other Countries,3.7
1975-04-30,Other GCC Countries,4.2
1975-04-30,Saudi Arabia,2
1975-04-30,U.A.E.,2.4
1975-04-30,U.K.,7.8
1975-04-30,USA,1.8
1975-05-31,EU Countries,0.6
1975-05-31,Other Countries,4
1975-05-31,Other GCC Countries,4
1975-05-31,Saudi Arabia,2.2
1975-05-31,U.A.E.,3
1975-05-31,U.K.,8.3
1975-05-31,USA,2
